car_id,score
car001,0
car002,0
car003,0
car004,0
car005,0
car006,0
car007,0
car008,0
car009,0
car010,0
car011,0
car012,0
car013,0
car014,0
car015,0
car016,0
car017,0
car018,0
car019,0
car020,0
car021,0
car022,0
car023,0
car024,0
car025,0
car026,0
car027,0
car028,0
car029,0
car030,0
car031,0
car032,0
car033,0
car034,0
car035,0
car036,0
car037,0
car038,0
car039,0
car040,0
car041,1
car042,1
car043,1
car044,1
car045,1
car046,1
car047,1
car048,1
car049,1
car050,1
car051,1
car052,1
car053,1
car054,1
car055,1
car056,1
car057,1
car058,1
car059,1
car060,1
car061,2
car062,2
car063,2
car064,2
car065,2
car066,2
car067,2
car068,2
car069,2
car070,2
car071,2
car072,2
car073,2
car074,2
car075,2
car076,3
car077,3
car078,3
car079,3
car080,3
car081,3
car082,3
car083,3
car084,3
car085,3
car086,4
car087,4
car088,4
car089,4
car090,4
car091,4
car092,0
car093,0
car094,0
car095,2
car096,2
car097,3
car098,4
car099,0
car100,1
car102,2
car103,3
car104,4
car105,0
car106,3
car107,2
car108,3
car109,4
car110,0
car111,1
car112,2
car113,3
car114,4
car115,3
car116,2
car117,3
car118,4
car119,3
car120,2
car121,3
car122,4
car123,2
car124,3
car125,4
car126,3
car127,4
